Timestamp,still01-bf-pid.DV01-LIT4003-level => (Aggregate=TimeAverage2),still01-bf-pid.CV01-plp4000a.cmdspd-hz => (Aggregate=TimeAverage2),still01-bf-pid.SP-pmp4000a.sp-% => (Aggregate=TimeAverage2),still01-bf-pid.PV01-fit4008.volumeflow => (Aggregate=TimeAverage2)
7/14/2025 4:41:14 PM,88.561485,42.319084,70.55,82.55268178
7/14/2025 4:41:19 PM,88.561485,42.40379,70.55,82.571564736
7/14/2025 4:41:24 PM,88.561485,42.386978,70.55,82.20351816
7/14/2025 4:41:29 PM,88.561485,42.469352,70.55,82.296652296
7/14/2025 4:41:34 PM,88.561485,42.346812,70.55,82.56502504
7/14/2025 4:41:39 PM,88.561485,42.35114,70.55,82.556606068
7/14/2025 4:41:44 PM,88.561485,42.465802,70.55,83.10943983
7/14/2025 4:41:49 PM,88.561485,42.460222,70.55,83.397051168
7/14/2025 4:41:54 PM,88.561485,42.37914,70.55,83.741012608
7/14/2025 4:41:59 PM,88.561485,42.335748,70.55,83.87505798
7/14/2025 4:42:04 PM,88.561485,42.322242,70.55,83.759576336
7/14/2025 4:42:09 PM,88.561485,42.330232,70.55,82.981132452
7/14/2025 4:42:14 PM,88.561485,42.282598,70.55,82.841491764
7/14/2025 4:42:19 PM,88.561485,42.133064,70.55,83.460194492
7/14/2025 4:42:24 PM,88.561485,42.15045,70.55,84.04078887
7/14/2025 4:42:29 PM,88.561485,42.057076,70.55,83.152523232
7/14/2025 4:42:34 PM,88.561485,42.169878,70.55,82.4237787
7/14/2025 4:42:39 PM,88.561485,42.234828,70.55,82.405700272
7/14/2025 4:42:44 PM,88.561485,42.1321,70.55,82.343937432
7/14/2025 4:42:49 PM,88.561485,42.097146,70.55,82.84935792
7/14/2025 4:42:54 PM,88.561485,42.115264,70.55,82.2793544744
7/14/2025 4:42:59 PM,88.561485,42.11489,70.55,81.66576284
7/14/2025 4:43:04 PM,88.561485,42.10641,70.55,82.425504344
7/14/2025 4:43:09 PM,88.561485,42.089232,70.55,81.8244722404
7/14/2025 4:43:14 PM,88.561485,42.13737,70.55,81.7574371072
7/14/2025 4:43:19 PM,88.561485,42.010824,70.55,83.275178743
7/14/2025 4:43:24 PM,88.561485,42.016406,70.55,82.82454698
7/14/2025 4:43:29 PM,88.561485,41.996192,70.55,84.17809744
7/14/2025 4:43:34 PM,88.561485,42.131844,70.55,83.83432829
7/14/2025 4:43:39 PM,88.561485,42.118404,70.55,82.48935207
7/14/2025 4:43:44 PM,88.561485,42.182044,70.55,82.93459316
7/14/2025 4:43:49 PM,88.561485,42.11708,70.55,82.3759324
7/14/2025 4:43:54 PM,88.561485,42.252212,70.55,82.464307326
7/14/2025 4:43:59 PM,88.561485,42.301124,70.55,82.78534134
7/14/2025 4:44:04 PM,88.561485,42.303676,70.55,82.469260992
7/14/2025 4:44:09 PM,88.561485,42.419702,70.55,82.9798138596
7/14/2025 4:44:14 PM,88.561485,42.53919,70.55,82.8886502048
7/14/2025 4:44:19 PM,88.561485,42.49563,70.55,82.74424712
7/14/2025 4:44:24 PM,88.561485,42.490364,70.55,82.718830224
7/14/2025 4:44:29 PM,88.561485,42.533136,70.55,83.27600292
7/14/2025 4:44:34 PM,88.486945444,42.53144,70.55,82.58213714
7/14/2025 4:44:39 PM,87.53759,42.58214,70.55,83.825712502
7/14/2025 4:44:44 PM,87.53759,42.50908,70.55,82.733863202
7/14/2025 4:44:49 PM,87.53759,42.601,70.55,83.27760217
7/14/2025 4:44:54 PM,87.53759,42.50295,70.55,82.465559335
7/14/2025 4:44:59 PM,87.53759,42.558084,70.55,83.0121599396
7/14/2025 4:45:04 PM,87.53759,42.578892,70.55,83.410240016
7/14/2025 4:45:09 PM,87.53759,42.742838,70.55,83.441603466
7/14/2025 4:45:14 PM,87.53759,42.67123,70.55,82.991014338
7/14/2025 4:45:19 PM,87.53759,42.54041,70.55,82.618839106
7/14/2025 4:45:24 PM,87.53759,42.493152,70.55,82.90291568
7/14/2025 4:45:29 PM,87.53759,42.631024,70.55,82.952992158
7/14/2025 4:45:34 PM,87.53759,42.552058,70.55,84.166340662
7/14/2025 4:45:39 PM,87.53759,42.47083,70.55,83.278439126
7/14/2025 4:45:44 PM,87.53759,42.471226,70.55,82.725272694
7/14/2025 4:45:49 PM,87.53759,42.42364,70.55,82.2160159136
7/14/2025 4:45:54 PM,87.53759,42.49692,70.55,81.9001756544
7/14/2025 4:45:59 PM,87.53759,42.351994,70.55,82.2274297228
7/14/2025 4:46:04 PM,87.53759,42.434402,70.55,82.925847392
7/14/2025 4:46:09 PM,87.53759,42.323136,70.55,82.993144216
7/14/2025 4:46:14 PM,87.53759,42.246352,70.55,82.57104082
7/14/2025 4:46:19 PM,87.53759,42.042932,70.55,83.0476446748
7/14/2025 4:46:24 PM,87.53759,42.207526,70.55,83.7568598176
7/14/2025 4:46:29 PM,87.53759,42.099088,70.55,83.252282288
7/14/2025 4:46:34 PM,87.53759,42.046102,70.55,82.93029288
