Timestamp,still01-lwc-pid.CV01-fcv4032-% => (Aggregate=TimeAverage2),still01-lwc-pid.enabled => (Aggregate=StartBound),still01-lwc-pid.SP01-fcv4034.SP-temp => (Aggregate=TimeAverage2),still01-lwc-pid.DV01-pit4012-psi => (Aggregate=TimeAverage2),still01-lwc-pid.DV02-tit52001.temp => (Aggregate=TimeAverage2),still01-lwc-pid.DV03-pit52006-psi => (Aggregate=TimeAverage2),still01-lwc-pid.DV04-fit52101-gpm => (Aggregate=TimeAverage2),still01-lwc-pid.PV01-tit4033-prodtemp => (Aggregate=TimeAverage2),still01-lwc-pid.PV02-tit4031-venttemp => (Aggregate=TimeAverage2),still01-lwc-pid.PV03-tit4021-lwctemp => (Aggregate=TimeAverage2),still01-lwc-pid.PV04-WeightedCalc-tempT_4021 => (Aggregate=TimeAverage2)
7/15/2025 5:08:51 AM,21,True,148,0.026285075,77.56136,42.998096,798.18932816,101.71616769,160.74959,172.6987646,164.3536
7/15/2025 5:08:53 AM,21,True,148,0.026285075,77.56136,42.998096,792.47481725,101.18311599,160.74959,172.46518,164.3536
7/15/2025 5:08:55 AM,21,True,148,0.026285075,77.5612976,42.998096,792.576487,100.582827,160.74959,172.46518,164.3536
7/15/2025 5:08:57 AM,21,True,148,0.026285075,77.56076,43.00058424,788.2831335,100.44503,160.74959,172.46518,164.3536
7/15/2025 5:08:59 AM,21,True,148,0.026234666306,77.56076,43.011192,786.187554,99.577675124,160.47369181,172.46518,164.3536
7/15/2025 5:09:01 AM,21,True,148,0.011882591,77.56076,43.011192,790.56494736,98.981350215,159.93757897,172.46518,163.3563908
7/15/2025 5:09:03 AM,21,True,148,0.011882591,77.56076,43.011192,787.67772068,98.88132,159.82,172.390873365,163.3028
7/15/2025 5:09:05 AM,21,True,148,0.011882591,77.56076,43.0125031875,795.9507025,98.259708455,159.82,171.92867,163.06169915
7/15/2025 5:09:07 AM,21,True,148,0.011882591,77.56076,43.0095789575,796.202480825,97.743607253,159.82,171.911035565,163.04834
7/15/2025 5:09:09 AM,21,True,148,0.011882591,77.56076,42.97204,791.9762,97.374905596,159.82,171.79948,163.04834
